step,loss,mean_score,median_score,std_score,max_score,min_score
115000,3.88,2.4,1.5,2.01,5.0,0.0
116000,3.88,1.6,2.0,1.43,4.0,0.0
117000,3.88,2.2,2.0,1.72,5.0,0.0
118000,3.89,1.9,2.0,1.51,5.0,0.0
119000,3.89,0.5,0.0,0.81,2.0,0.0
120000,3.88,2.1,2.0,1.3,4.0,0.0
121000,3.88,2.9,3.0,1.14,5.0,1.0
122000,3.89,1.5,2.0,1.02,3.0,0.0
123000,3.88,2.1,2.0,1.97,6.0,0.0
124000,3.89,2.7,2.5,1.79,6.0,0.0
125000,3.88,1.0,0.0,1.26,3.0,0.0
126000,3.89,2.0,2.0,1.9,5.0,0.0
127000,3.88,1.8,2.0,1.25,3.0,0.0
128000,3.88,2.4,2.0,1.56,5.0,0.0
129000,3.89,2.1,2.0,1.64,5.0,0.0
130000,3.89,1.2,0.0,1.66,5.0,0.0
131000,3.87,2.4,2.5,1.62,5.0,0.0
132000,3.88,1.2,1.0,1.33,4.0,0.0
133000,3.88,2.0,1.0,2.24,6.0,0.0
134000,3.89,1.5,1.0,1.43,4.0,0.0
135000,3.88,1.5,0.0,2.38,7.0,0.0
136000,3.88,1.6,0.5,2.01,6.0,0.0
137000,3.89,3.1,3.0,2.07,6.0,0.0
138000,3.88,2.3,2.0,1.42,4.0,0.0
139000,3.88,2.5,2.0,0.67,4.0,2.0
140000,3.88,1.9,2.0,0.7,3.0,0.0
141000,3.88,1.5,1.5,1.5,4.0,0.0
142000,3.87,1.9,2.0,1.45,4.0,0.0
143000,3.87,1.7,2.0,0.9,3.0,0.0
144000,3.87,1.0,0.0,1.34,4.0,0.0
145000,3.87,2.9,4.0,1.7,5.0,0.0
146000,3.87,2.4,2.5,1.5,5.0,0.0
147000,3.88,1.2,0.0,1.54,4.0,0.0
148000,3.88,1.8,2.0,0.98,3.0,0.0
149000,3.87,1.1,0.0,1.45,4.0,0.0
150000,3.88,2.4,2.0,0.66,4.0,2.0
151000,3.86,1.6,2.0,1.56,5.0,0.0
152000,3.87,1.8,2.0,0.98,3.0,0.0
153000,3.85,1.5,0.0,2.06,6.0,0.0
154000,3.87,2.0,2.0,0.0,2.0,2.0
155000,3.86,1.6,1.0,1.96,6.0,0.0
156000,3.87,1.9,2.0,1.37,4.0,0.0
157000,3.86,1.4,0.0,1.8,4.0,0.0
158000,3.87,2.4,2.5,1.5,5.0,0.0
159000,3.86,2.2,2.0,0.87,3.0,0.0
160000,3.87,2.8,3.0,1.25,5.0,0.0
161000,3.85,1.4,2.0,1.02,3.0,0.0
162000,3.85,2.3,2.0,2.28,6.0,0.0
163000,3.86,1.7,2.0,1.42,5.0,0.0
164000,3.86,1.4,0.0,2.01,6.0,0.0
165000,3.87,3.7,4.0,1.73,6.0,0.0
166000,3.87,1.9,2.0,1.04,3.0,0.0
167000,3.87,1.5,2.0,1.36,4.0,0.0
168000,3.85,2.0,2.0,1.1,3.0,0.0
169000,3.87,1.8,2.0,1.72,5.0,0.0
170000,3.86,2.1,2.0,1.22,4.0,0.0
171000,3.85,2.0,2.0,1.61,5.0,0.0
172000,3.84,1.8,2.0,0.98,3.0,0.0
173000,3.85,2.1,1.0,2.47,6.0,0.0
174000,3.86,1.9,2.0,0.7,3.0,0.0
175000,3.84,2.3,2.0,0.64,4.0,2.0
176000,3.86,2.1,2.0,1.45,5.0,0.0
177000,3.85,1.4,0.0,1.74,4.0,0.0
178000,3.85,2.4,2.0,1.56,5.0,0.0
179000,3.84,2.0,2.0,1.84,5.0,0.0
180000,3.84,2.0,2.0,0.89,4.0,0.0
